company_id,title,job_id,description
827,Business Analyst,248,Business analyst evaluates past and current business data with the primary goal of improving decision-making processes within organizations.
845,Business Analyst,149,Business analyst evaluates past and current business data with the primary goal of improving decision-making processes within organizations.
345,Data Analyst,945,Data analyst reviews data to identify key insights into a business's customers and ways the data can be used to solve problems.
345,Data Analyst,164,Data analyst reviews data to identify key insights into a business's customers and ways the data can be used to solve problems.
244,Data Engineer,172,Data engineer works in a variety of settings to build systems that collect, manage, and convert raw data into usable information for data scientists and business analysts to interpret.
827,Data Scientist,256,Data scientist uses data to understand and explain the phenomena around them, and help organizations make better decisions.
244,Software Engineer,365,Software engineers design and create computer systems and applications to solve real-world problems.
400,Business Intelligence Analyst,674,Business intelligence analyst reviews data to produce finance and market intelligence reports.
827,Data Scientist,245,Data scientist uses data to understand and explain the phenomena around them, and help organizations make better decisions.
244,Software Engineer,301,Software engineers design and create computer systems and applications to solve real-world problems.
